ParticipantID,AttemptNum,TargetColor,ChosenColor,IsCorrect,ReactionTime_sec
P002,1,Red,Red,1,3.0550
P002,2,Red,Red,1,1.0058
P002,3,Blue,Blue,1,1.0693
P002,4,Red,Red,1,1.3473
P002,5,Red,Red,1,0.5696
P002,6,Red,Red,1,0.4162
P002,7,Red,Red,1,0.3811
P002,8,Red,Red,1,0.5415
P002,9,Red,Red,1,0.3748
P002,10,Red,Red,1,0.4445
P002,11,Blue,Blue,1,0.9312
P002,12,Blue,Blue,1,0.4582
P002,13,Red,Red,1,0.5974
P002,14,Blue,Blue,1,0.7083
P002,15,Blue,Blue,1,0.5407
P002,16,Red,Red,1,0.4583
P002,17,Red,Red,1,0.3193
P002,18,Red,Red,1,0.5865
P002,19,Blue,Blue,1,0.5278
P002,20,Red,Red,1,0.4306
