ParticipantID,AttemptNum,TargetColor,ChosenColor,IsCorrect,ReactionTime_sec
P001,1,Blue,Red,0,5.0972
P001,2,Blue,Red,0,2.8056
P001,3,Red,Blue,0,1.9165
P001,4,Blue,Blue,1,1.1666
P001,5,Blue,Blue,1,0.9305
P001,6,Red,Red,1,0.9307
P001,7,Blue,Blue,1,0.9307
P001,8,Red,Red,1,0.7362
P001,9,Blue,Blue,1,0.5417
P001,10,Blue,Blue,1,0.6391
P001,11,Red,Red,1,0.5552
P001,12,Red,Red,1,0.6801
P001,13,Blue,Blue,1,0.4168
P001,14,Red,Red,1,0.4997
P001,15,Red,Red,1,0.5409
P001,16,Blue,Blue,1,0.3325
P001,17,Blue,Blue,1,0.9862
P001,18,Blue,Blue,1,0.5696
P001,19,Red,Red,1,0.4301
P001,20,Red,Red,1,0.6665
P001,21,Blue,Blue,1,0.5692
P001,22,Red,Red,1,0.5555
P001,23,Red,Red,1,0.5699
