ParticipantID,Phase,Trial,TimeStamp_sec,Yaw_deg,Pitch_deg,TargetNumber,isCorrect
P002,HRTF_A,0,0.014,0.31,-1.13,1,1
P002,HRTF_A,0,0.028,0.31,-1.12,1,1
P002,HRTF_A,0,0.042,0.30,-1.11,1,1
P002,HRTF_A,0,0.056,0.30,-1.11,1,1
P002,HRTF_A,0,0.070,0.29,-1.11,1,1
P002,HRTF_A,0,0.083,0.30,-1.11,1,1
P002,HRTF_A,0,0.098,0.30,-1.11,1,1
P002,HRTF_A,0,0.118,0.30,-1.11,1,1
P002,HRTF_A,0,0.125,0.30,-1.10,1,1
P002,HRTF_A,0,0.139,0.28,-1.09,1,1
P002,HRTF_A,0,0.153,0.28,-1.08,1,1
P002,HRTF_A,0,0.167,0.28,-1.09,1,1
P002,HRTF_A,0,0.181,0.27,-1.10,1,1
P002,HRTF_A,0,0.194,0.28,-1.09,1,1
P002,HRTF_A,0,0.208,0.29,-1.07,1,1
P002,HRTF_A,0,0.222,0.30,-1.05,1,1
P002,HRTF_A,0,0.236,0.30,-1.04,1,1
P002,HRTF_A,0,0.250,0.31,-1.03,1,1
P002,HRTF_A,0,0.270,0.33,-1.03,1,1
P002,HRTF_A,0,0.278,0.34,-1.03,1,1
P002,HRTF_A,0,0.292,0.35,-1.02,1,1
P002,HRTF_A,0,0.305,0.35,-1.03,1,1
P002,HRTF_A,0,0.320,0.35,-1.03,1,1
P002,HRTF_A,0,0.333,0.35,-1.03,1,1
P002,HRTF_A,0,0.347,0.34,-1.05,1,1
P002,HRTF_A,0,0.361,0.35,-1.06,1,1
P002,HRTF_A,0,0.375,0.35,-1.07,1,1
P002,HRTF_A,0,0.389,0.36,-1.09,1,1
P002,HRTF_A,0,0.403,0.36,-1.09,1,1
P002,HRTF_A,0,0.423,0.37,-1.10,1,1
P002,HRTF_A,0,0.431,0.37,-1.12,1,1
P002,HRTF_A,0,0.444,0.36,-1.14,1,1
P002,HRTF_A,0,0.458,0.36,-1.13,1,1
P002,HRTF_A,0,0.472,0.35,-1.14,1,1
P002,HRTF_A,0,0.487,0.35,-1.16,1,1
P002,HRTF_A,0,0.500,0.36,-1.21,1,1
P002,HRTF_A,0,0.514,0.36,-1.24,1,1
P002,HRTF_A,0,0.528,0.35,-1.28,1,1
P002,HRTF_A,0,0.542,0.37,-1.31,1,1
P002,HRTF_A,0,0.556,0.38,-1.32,1,1
P002,HRTF_A,0,0.575,0.37,-1.33,1,1
P002,HRTF_A,0,0.584,0.37,-1.36,1,1
P002,HRTF_A,0,0.597,0.40,-1.40,1,1
P002,HRTF_A,0,0.611,0.41,-1.44,1,1
P002,HRTF_A,0,0.625,0.43,-1.46,1,1
P002,HRTF_A,0,0.639,0.44,-1.48,1,1
P002,HRTF_A,0,0.653,0.46,-1.48,1,1
P002,HRTF_A,0,0.667,0.48,-1.47,1,1
P002,HRTF_A,0,0.681,0.50,-1.44,1,1
P002,HRTF_A,0,0.695,0.52,-1.43,1,1
P002,HRTF_A,0,0.709,0.53,-1.45,1,1
P002,HRTF_A,0,0.730,0.55,-1.47,1,1
P002,HRTF_A,0,0.736,0.56,-1.47,1,1
P002,HRTF_A,0,0.750,0.56,-1.47,1,1
P002,HRTF_A,0,0.764,0.56,-1.47,1,1
P002,HRTF_A,0,0.778,0.55,-1.48,1,1
P002,HRTF_A,0,0.792,0.55,-1.51,1,1
P002,HRTF_A,0,0.806,0.54,-1.53,1,1
P002,HRTF_A,0,0.819,0.52,-1.55,1,1
P002,HRTF_A,0,0.833,0.51,-1.56,1,1
P002,HRTF_A,0,0.847,0.51,-1.57,1,1
