ParticipantID,AttemptNum,TargetColor,ChosenColor,IsCorrect,ReactionTime_sec
P006,1,Blue,Blue,1,1.7078
P006,2,Blue,Blue,1,0.4998
P006,3,Blue,Blue,1,0.361
P006,4,Blue,Blue,1,0.3329
P006,5,Blue,Blue,1,0.3613
P006,6,Blue,Blue,1,0.3889
P006,7,Red,Red,1,0.5554
P006,8,Red,Red,1,0.3471
P006,9,Red,Red,1,0.2637
P006,10,Blue,Red,0,0.3194
P006,11,Blue,Blue,1,0.597
P006,12,Blue,Blue,1,0.4028
P006,13,Blue,Blue,1,0.3606
P006,14,Blue,Blue,1,0.4166
P006,15,Red,Red,1,0.4446
P006,16,Blue,Blue,1,0.5696
P006,17,Red,Red,1,1.7635
P006,18,Red,Red,1,0.583
P006,19,Blue,Blue,1,0.5414
P006,20,Red,Red,1,0.6114
P006,21,Blue,Blue,1,0.5832
