ParticipantID,Phase,Trial,TimeStamp_sec,Yaw_deg,Pitch_deg,TargetNumber,isCorrect
P047,HRTF_A,0,0.014,-1.10,-3.16,25,1
P047,HRTF_A,0,0.071,-1.07,-3.15,25,1
P047,HRTF_A,0,0.083,-1.07,-3.18,25,1
P047,HRTF_A,0,0.097,-1.06,-3.16,25,1
P047,HRTF_A,0,0.111,-1.06,-3.16,25,1
P047,HRTF_A,0,0.125,-1.07,-3.16,25,1
P047,HRTF_A,0,0.139,-1.08,-3.18,25,1
P047,HRTF_A,0,0.153,-1.09,-3.21,25,1
P047,HRTF_A,0,0.166,-1.10,-3.24,25,1
P047,HRTF_A,0,0.180,-1.11,-3.25,25,1
P047,HRTF_A,0,0.194,-1.10,-3.25,25,1
P047,HRTF_A,0,0.208,-1.09,-3.24,25,1
P047,HRTF_A,0,0.222,-1.08,-3.24,25,1
P047,HRTF_A,0,0.236,-1.07,-3.25,25,1
P047,HRTF_A,0,0.250,-1.06,-3.27,25,1
P047,HRTF_A,0,0.264,-1.07,-3.28,25,1
P047,HRTF_A,0,0.277,-1.08,-3.28,25,1
P047,HRTF_A,0,0.292,-1.09,-3.27,25,1
P047,HRTF_A,0,0.305,-1.09,-3.26,25,1
P047,HRTF_A,0,0.319,-1.10,-3.26,25,1
P047,HRTF_A,0,0.333,-1.11,-3.29,25,1
P047,HRTF_A,0,0.347,-1.12,-3.30,25,1
P047,HRTF_A,0,0.361,-1.12,-3.32,25,1
P047,HRTF_A,0,0.374,-1.11,-3.32,25,1
P047,HRTF_A,0,0.388,-1.10,-3.31,25,1
P047,HRTF_A,0,0.402,-1.08,-3.31,25,1
P047,HRTF_A,0,0.416,-1.07,-3.30,25,1
P047,HRTF_A,0,0.430,-1.06,-3.29,25,1
P047,HRTF_A,0,0.444,-1.06,-3.29,25,1
P047,HRTF_A,0,0.458,-1.04,-3.28,25,1
P047,HRTF_A,0,0.472,-1.03,-3.28,25,1
P047,HRTF_A,0,0.486,-1.03,-3.27,25,1
P047,HRTF_A,0,0.499,-1.02,-3.26,25,1
P047,HRTF_A,0,0.513,-1.03,-3.26,25,1
P047,HRTF_A,0,0.527,-1.05,-3.26,25,1
P047,HRTF_A,0,0.541,-1.07,-3.27,25,1
P047,HRTF_A,0,0.555,-1.08,-3.27,25,1
P047,HRTF_A,0,0.569,-1.09,-3.28,25,1
P047,HRTF_A,0,0.583,-1.11,-3.27,25,1
P047,HRTF_A,0,0.597,-1.13,-3.27,25,1
P047,HRTF_A,0,0.611,-1.15,-3.27,25,1
P047,HRTF_A,0,0.624,-1.16,-3.28,25,1
P047,HRTF_A,0,0.638,-1.16,-3.29,25,1
P047,HRTF_A,0,0.652,-1.17,-3.30,25,1
P047,HRTF_A,0,0.666,-1.17,-3.30,25,1
P047,HRTF_A,0,0.680,-1.17,-3.30,25,1
P047,HRTF_A,0,0.694,-1.16,-3.29,25,1
P047,HRTF_A,0,0.708,-1.15,-3.27,25,1
P047,HRTF_A,0,0.722,-1.14,-3.25,25,1
P047,HRTF_A,0,0.736,-1.13,-3.24,25,1
P047,HRTF_A,0,0.749,-1.11,-3.24,25,1
P047,HRTF_A,0,0.763,-1.10,-3.24,25,1
P047,HRTF_A,0,0.777,-1.09,-3.24,25,1
P047,HRTF_A,0,0.791,-1.08,-3.24,25,1
P047,HRTF_A,0,0.805,-1.08,-3.23,25,1
P047,HRTF_A,0,0.819,-1.08,-3.23,25,1
P047,HRTF_A,0,0.833,-1.08,-3.22,25,1
P047,HRTF_A,0,0.847,-1.09,-3.23,25,1
P047,HRTF_A,0,0.861,-1.10,-3.24,25,1
P047,HRTF_A,0,0.874,-1.10,-3.24,25,1
P047,HRTF_A,0,0.888,-1.10,-3.25,25,1
P047,HRTF_A,0,0.902,-1.11,-3.25,25,1
P047,HRTF_A,0,0.916,-1.11,-3.25,25,1
P047,HRTF_A,0,0.930,-1.11,-3.24,25,1
P047,HRTF_A,0,0.944,-1.11,-3.23,25,1
P047,HRTF_A,0,0.958,-1.11,-3.22,25,1
P047,HRTF_A,0,0.972,-1.11,-3.23,25,1
P047,HRTF_A,0,0.986,-1.11,-3.23,25,1
P047,HRTF_A,0,0.999,-1.10,-3.23,25,1
P047,HRTF_A,0,1.013,-1.10,-3.24,25,1
P047,HRTF_A,0,1.027,-1.10,-3.25,25,1
P047,HRTF_A,0,1.041,-1.10,-3.25,25,1
P047,HRTF_A,0,1.055,-1.10,-3.25,25,1
P047,HRTF_A,0,1.069,-1.11,-3.25,25,1
P047,HRTF_A,0,1.083,-1.11,-3.27,25,1
P047,HRTF_A,0,1.097,-1.13,-3.28,25,1
P047,HRTF_A,0,1.110,-1.14,-3.28,25,1
P047,HRTF_A,0,1.124,-1.13,-3.27,25,1
P047,HRTF_A,0,1.138,-1.12,-3.26,25,1
P047,HRTF_A,0,1.152,-1.11,-3.25,25,1
P047,HRTF_A,0,1.166,-1.11,-3.24,25,1
P047,HRTF_A,0,1.180,-1.10,-3.23,25,1
P047,HRTF_A,0,1.194,-1.11,-3.24,25,1
P047,HRTF_A,0,1.208,-1.11,-3.25,25,1
P047,HRTF_A,0,1.222,-1.10,-3.25,25,1
P047,HRTF_A,0,1.235,-1.09,-3.26,25,1
P047,HRTF_A,0,1.249,-1.09,-3.28,25,1
P047,HRTF_A,0,1.263,-1.09,-3.29,25,1
P047,HRTF_A,0,1.277,-1.10,-3.32,25,1
P047,HRTF_A,0,1.291,-1.12,-3.35,25,1
P047,HRTF_A,0,1.305,-1.13,-3.38,25,1
P047,HRTF_A,0,1.319,-1.14,-3.41,25,1
P047,HRTF_A,0,1.333,-1.16,-3.45,25,1
P047,HRTF_A,0,1.347,-1.17,-3.48,25,1
P047,HRTF_A,0,1.361,-1.18,-3.50,25,1
