ParticipantID,AttemptNum,TargetColor,ChosenColor,IsCorrect,ReactionTime_sec
P005,1,Red,Red,1,1.9995
P005,2,Red,Red,1,1.6105
P005,3,Blue,Blue,1,0.8612
P005,4,Red,Red,1,0.9720
P005,5,Red,Red,1,1.0551
P005,6,Red,Red,1,0.6385
P005,7,Blue,Blue,1,0.7636
P005,8,Blue,Blue,1,0.7641
P005,9,Blue,Blue,1,0.7499
P005,10,Blue,Blue,1,0.8052
P005,11,Blue,Blue,1,0.5553
P005,12,Red,Red,1,0.7224
P005,13,Red,Red,1,0.6801
P005,14,Red,Red,1,0.7081
P005,15,Red,Red,1,0.5273
P005,16,Red,Red,1,0.4447
P005,17,Blue,Blue,1,0.6110
P005,18,Blue,Blue,1,0.5831
P005,19,Red,Red,1,0.6666
P005,20,Red,Red,1,0.5969
