ParticipantID,Phase,Trial,TimeStamp_sec,Yaw_deg,Pitch_deg,TargetNumber,isCorrect
P005,HRTF_A,0,0.018,3.05,-0.65,30,1
P005,HRTF_A,0,0.036,2.99,-0.68,30,1
P005,HRTF_A,0,0.044,2.92,-0.67,30,1
P005,HRTF_A,0,0.056,2.84,-0.68,30,1
P005,HRTF_A,0,0.072,2.77,-0.67,30,1
P005,HRTF_A,0,0.083,2.69,-0.66,30,1
P005,HRTF_A,0,0.097,2.62,-0.65,30,1
P005,HRTF_A,0,0.111,2.54,-0.65,30,1
P005,HRTF_A,0,0.125,2.46,-0.63,30,1
P005,HRTF_A,0,0.139,2.37,-0.61,30,1
P005,HRTF_A,0,0.153,2.28,-0.6,30,1
P005,HRTF_A,0,0.167,2.22,-0.62,30,1
P005,HRTF_A,0,0.181,2.14,-0.63,30,1
P005,HRTF_A,0,0.195,2.09,-0.61,30,1
P005,HRTF_A,0,0.209,2.04,-0.6,30,1
P005,HRTF_A,0,0.223,2,-0.57,30,1
P005,HRTF_A,0,0.236,1.95,-0.55,30,1
P005,HRTF_A,0,0.25,1.89,-0.56,30,1
P005,HRTF_A,0,0.264,1.85,-0.55,30,1
P005,HRTF_A,0,0.278,1.81,-0.59,30,1
P005,HRTF_A,0,0.292,1.75,-0.69,30,1
P005,HRTF_A,0,0.306,1.68,-0.8,30,1
P005,HRTF_A,0,0.32,1.61,-0.9,30,1
P005,HRTF_A,0,0.334,1.56,-1.02,30,1
P005,HRTF_A,0,0.347,1.48,-1.14,30,1
P005,HRTF_A,0,0.361,1.4,-1.23,30,1
P005,HRTF_A,0,0.375,1.31,-1.29,30,1
P005,HRTF_A,0,0.389,1.21,-1.35,30,1
P005,HRTF_A,0,0.403,1.14,-1.36,30,1
P005,HRTF_A,0,0.417,1.08,-1.29,30,1
P005,HRTF_A,0,0.431,1.02,-1.1,30,1
P005,HRTF_A,0,0.445,0.98,-0.81,30,1
P005,HRTF_A,0,0.459,0.92,-0.49,30,1
P005,HRTF_A,0,0.472,0.89,-0.14,30,1
P005,HRTF_A,0,0.486,0.86,0.19,30,1
P005,HRTF_A,0,0.5,0.85,0.46,30,1
P005,HRTF_A,0,0.514,0.85,0.74,30,1
P005,HRTF_A,0,0.528,0.82,1.07,30,1
P005,HRTF_A,0,0.542,0.77,1.42,30,1
P005,HRTF_A,0,0.556,0.74,1.8,30,1
P005,HRTF_A,0,0.57,0.69,2.18,30,1
P005,HRTF_A,0,0.584,0.66,2.6,30,1
P005,HRTF_A,0,0.597,0.6,3.08,30,1
P005,HRTF_A,0,0.612,0.52,3.68,30,1
P005,HRTF_A,0,0.625,0.44,4.26,30,1
P005,HRTF_A,0,0.639,0.35,4.88,30,1
P005,HRTF_A,0,0.653,0.27,5.57,30,1
P005,HRTF_A,0,0.667,0.24,6.18,30,1
P005,HRTF_A,0,0.681,0.2,6.76,30,1
P005,HRTF_A,0,0.695,0.17,7.33,30,1
P005,HRTF_A,0,0.708,0.12,7.89,30,1
P005,HRTF_A,0,0.722,0.04,8.52,30,1
P005,HRTF_A,0,0.736,-0.01,9.21,30,1
P005,HRTF_A,0,0.75,-0.06,10.05,30,1
P005,HRTF_A,0,0.764,-0.05,10.97,30,1
P005,HRTF_A,0,0.778,0,11.86,30,1
P005,HRTF_A,0,0.792,0.04,12.68,30,1
P005,HRTF_A,0,0.806,0.1,13.36,30,1
P005,HRTF_A,0,0.82,0.14,14.04,30,1
P005,HRTF_A,0,0.834,0.15,14.75,30,1
P005,HRTF_A,0,0.848,0.15,15.27,30,1
P005,HRTF_A,0,0.861,0.19,15.53,30,1
P005,HRTF_A,0,0.875,0.23,15.56,30,1
