ParticipantID,AttemptNum,TargetColor,ChosenColor,IsCorrect,ReactionTime_sec
P004,1,Red,Red,1,6.3064
P004,2,Red,Red,1,6.8040
P004,3,Blue,Blue,1,2.6247
P004,4,Blue,Blue,1,1.2076
P004,5,Blue,Blue,1,2.1529
P004,6,Blue,Blue,1,1.1806
P004,7,Blue,Blue,1,1.0277
P004,8,Red,Red,1,0.8198
P004,9,Blue,Blue,1,0.6665
P004,10,Red,Red,1,0.9029
P004,11,Red,Red,1,2.0269
P004,12,Blue,Blue,1,0.8610
P004,13,Red,Red,1,1.1110
P004,14,Red,Red,1,0.8611
P004,15,Red,Red,1,0.9445
P004,16,Blue,Blue,1,0.7638
P004,17,Blue,Blue,1,1.6530
P004,18,Red,Red,1,0.7775
P004,19,Blue,Blue,1,0.7911
P004,20,Blue,Blue,1,0.8332
