ParticipantID,AttemptNum,TargetColor,ChosenColor,IsCorrect,ReactionTime_sec
P047,1,Blue,Blue,1,1.7078
P047,2,Blue,Blue,1,0.4998
P047,3,Blue,Blue,1,0.3610
P047,4,Blue,Blue,1,0.3329
P047,5,Blue,Blue,1,0.3613
P047,6,Blue,Blue,1,0.3889
P047,7,Red,Red,1,0.5554
P047,8,Red,Red,1,0.3471
P047,9,Red,Red,1,0.2637
P047,10,Blue,Red,0,0.3194
P047,11,Blue,Blue,1,0.5970
P047,12,Blue,Blue,1,0.4028
P047,13,Blue,Blue,1,0.3606
P047,14,Blue,Blue,1,0.4166
P047,15,Red,Red,1,0.4446
P047,16,Blue,Blue,1,0.5696
P047,17,Red,Red,1,1.7635
P047,18,Red,Red,1,0.5830
P047,19,Blue,Blue,1,0.5414
P047,20,Red,Red,1,0.6114
P047,21,Blue,Blue,1,0.5832
