ParticipantID,Phase,Trial,TimeStamp_sec,Yaw_deg,Pitch_deg,TargetNumber,isCorrect
P007,HRTF_A,0,0.014,-11.61,2.52,6,1
P007,HRTF_A,0,0.028,-11.75,2.4,6,1
P007,HRTF_A,0,0.042,-11.86,2.26,6,1
P007,HRTF_A,0,0.056,-11.88,2.18,6,1
P007,HRTF_A,0,0.07,-11.88,2.07,6,1
P007,HRTF_A,0,0.083,-11.83,2.0,6,1
P007,HRTF_A,0,0.097,-11.76,1.95,6,1
P007,HRTF_A,0,0.111,-11.67,1.91,6,1
P007,HRTF_A,0,0.125,-11.59,1.84,6,1
P007,HRTF_A,0,0.139,-11.49,1.77,6,1
P007,HRTF_A,0,0.153,-11.39,1.7,6,1
P007,HRTF_A,0,0.167,-11.34,1.63,6,1
P007,HRTF_A,0,0.181,-11.31,1.57,6,1
P007,HRTF_A,0,0.194,-11.27,1.55,6,1
P007,HRTF_A,0,0.209,-11.23,1.52,6,1
P007,HRTF_A,0,0.222,-11.23,1.49,6,1
P007,HRTF_A,0,0.236,-11.26,1.49,6,1
P007,HRTF_A,0,0.25,-11.36,1.52,6,1
P007,HRTF_A,0,0.264,-11.51,1.53,6,1
P007,HRTF_A,0,0.278,-11.73,1.52,6,1
P007,HRTF_A,0,0.292,-12.01,1.52,6,1
P007,HRTF_A,0,0.306,-12.33,1.53,6,1
P007,HRTF_A,0,0.319,-12.7,1.58,6,1
P007,HRTF_A,0,0.334,-13.11,1.65,6,1
P007,HRTF_A,0,0.347,-13.56,1.77,6,1
P007,HRTF_A,0,0.361,-14.02,1.94,6,1
P007,HRTF_A,0,0.375,-14.49,2.1,6,1
P007,HRTF_A,0,0.389,-14.96,2.23,6,1
P007,HRTF_A,0,0.403,-15.44,2.33,6,1
P007,HRTF_A,0,0.417,-15.91,2.48,6,1
P007,HRTF_A,0,0.43,-16.39,2.73,6,1
P007,HRTF_A,0,0.444,-16.89,3.13,6,1
P007,HRTF_A,0,0.458,-17.4,3.42,6,1
P007,HRTF_A,0,0.472,-17.9,3.85,6,1
P007,HRTF_A,0,0.486,-18.34,4.29,6,1
P007,HRTF_A,0,0.5,-18.74,4.74,6,1
P007,HRTF_A,0,0.514,-19.09,5.2,6,1
P007,HRTF_A,0,0.528,-19.43,5.66,6,1
P007,HRTF_A,0,0.542,-19.79,6.07,6,1
P007,HRTF_A,0,0.556,-20.16,6.43,6,1
P007,HRTF_A,0,0.57,-20.53,6.77,6,1
P007,HRTF_A,0,0.584,-20.86,7.08,6,1
P007,HRTF_A,0,0.597,-21.19,7.34,6,1
P007,HRTF_A,0,0.611,-21.53,7.57,6,1
P007,HRTF_A,0,0.625,-21.9,7.7,6,1
P007,HRTF_A,0,0.639,-22.33,7.82,6,1
P007,HRTF_A,0,0.653,-22.71,7.92,6,1
P007,HRTF_A,0,0.667,-23.08,7.97,6,1
P007,HRTF_A,0,0.68,-23.5,8.01,6,1
P007,HRTF_A,0,0.695,-23.94,7.92,6,1
P007,HRTF_A,0,0.708,-24.37,7.74,6,1
