ParticipantID,Phase,Trial,TimeStamp_sec,Yaw_deg,Pitch_deg,TargetNumber,isCorrect
P002,HRTF_A,0,0.014,0.31,-1.13,1,1
P002,HRTF_A,0,0.028,0.31,-1.12,1,1
P002,HRTF_A,0,0.042,0.3,-1.11,1,1
P002,HRTF_A,0,0.056,0.3,-1.11,1,1
P002,HRTF_A,0,0.07,0.29,-1.11,1,1
P002,HRTF_A,0,0.083,0.3,-1.11,1,1
P002,HRTF_A,0,0.098,0.3,-1.11,1,1
P002,HRTF_A,0,0.118,0.3,-1.11,1,1
P002,HRTF_A,0,0.125,0.3,-1.1,1,1
P002,HRTF_A,0,0.139,0.28,-1.09,1,1
P002,HRTF_A,0,0.153,0.28,-1.08,1,1
P002,HRTF_A,0,0.167,0.28,-1.09,1,1
P002,HRTF_A,0,0.181,0.27,-1.1,1,1
P002,HRTF_A,0,0.194,0.28,-1.09,1,1
P002,HRTF_A,0,0.208,0.29,-1.07,1,1
P002,HRTF_A,0,0.222,0.3,-1.05,1,1
P002,HRTF_A,0,0.236,0.3,-1.04,1,1
P002,HRTF_A,0,0.25,0.31,-1.03,1,1
P002,HRTF_A,1,0.014,-0.06,-0.15,5,1
P002,HRTF_A,1,0.028,-0.06,-0.16,5,1
P002,HRTF_A,1,0.042,-0.06,-0.16,5,1
P002,HRTF_A,1,0.056,-0.07,-0.16,5,1
P002,HRTF_A,1,0.07,-0.07,-0.15,5,1
P002,HRTF_A,1,0.091,-0.07,-0.15,5,1
P002,HRTF_A,1,0.097,-0.07,-0.13,5,1
P002,HRTF_A,1,0.111,-0.08,-0.12,5,1
P002,HRTF_A,1,0.125,-0.08,-0.11,5,1
P002,HRTF_A,1,0.139,-0.08,-0.1,5,1
P002,HRTF_A,1,0.153,-0.08,-0.1,5,1
P002,HRTF_A,1,0.167,-0.07,-0.1,5,1
P002,HRTF_A,1,0.18,-0.08,-0.12,5,1
P002,HRTF_A,1,0.194,-0.09,-0.14,5,1
P002,HRTF_A,1,0.216,-0.11,-0.15,5,1
P002,HRTF_A,1,0.223,-0.14,-0.16,5,1
P002,HRTF_A,1,0.242,-0.16,-0.17,5,1
P002,HRTF_A,1,0.25,-0.17,-0.21,5,1
P002,HRTF_A,1,0.264,-0.17,-0.24,5,1
P002,HRTF_A,1,0.278,-0.18,-0.24,5,1
P002,HRTF_A,1,0.292,-0.19,-0.24,5,1
P002,HRTF_A,1,0.305,-0.21,-0.25,5,1
P002,HRTF_A,1,0.319,-0.2,-0.25,5,1
P002,HRTF_A,1,0.333,-0.2,-0.25,5,1
P002,HRTF_A,1,0.347,-0.19,-0.26,5,1
P002,HRTF_A,1,0.361,-0.19,-0.27,5,1
P002,HRTF_A,1,0.375,-0.18,-0.26,5,1
P002,HRTF_A,1,0.395,-0.16,-0.22,5,1
P002,HRTF_A,1,0.403,-0.11,-0.16,5,1
P002,HRTF_A,1,0.417,-0.07,-0.11,5,1
P002,HRTF_A,1,0.431,-0.01,-0.08,5,1
P002,HRTF_A,1,0.445,0.17,-0.1,5,1
P002,HRTF_A,1,0.458,0.53,-0.14,5,1
P002,HRTF_A,1,0.472,0.95,-0.19,5,1
P002,HRTF_A,1,0.486,1.79,-0.29,5,1
P002,HRTF_A,1,0.5,2.56,-0.34,5,1
P002,HRTF_A,1,0.514,3.36,-0.39,5,1
P002,HRTF_A,1,0.528,4.11,-0.51,5,1
P002,HRTF_A,1,0.548,4.78,-0.71,5,1
P002,HRTF_A,1,0.556,5.47,-0.95,5,1
P002,HRTF_A,1,0.57,6.01,-1.29,5,1
P002,HRTF_A,1,0.583,6.42,-1.66,5,1
